postId,inputURL,inputVideoBitrate,codecName
3297052724,https://cdn4.sharechat.com/2c59318a_1697547083234.3gp,2246275,h264
3295594343,https://cdn4.sharechat.com/14ac437d_1697430979291.3gp,2252690,h264
3294933378,https://cdn4.sharechat.com/2d5fc11b_1697369483452.3gp,2282022,h264
3292601747,https://cdn4.sharechat.com/317602b8_1697183178596.3gp,1716339,h264
3295176757,https://cdn4.sharechat.com/22f7c136_1697384268969.3gp,4604072,h264
3296604737,https://cdn4.sharechat.com/6eda78f_1697517584759.3gp,2335453,h264
3296744266,https://cdn4.sharechat.com/b7f4971_1697526402371.3gp,2406054,h264
3293239606,https://cdn4.sharechat.com/3161516d_1697242896614.3gp,1041620,h264
3294938335,https://cdn4.sharechat.com/a1b2538_1697369797720.3gp,2333086,h264
3297683896,https://cdn4.sharechat.com/ac9ce7d_1697608108360.3gp,2573947,h264
3298259883,https://cdn4.sharechat.com/2d292a7b_1697645789426.3gp,8854288,h264
3292440980,https://cdn4.sharechat.com/3335d13_1697172856048.3gp,2387526,h264
3298014204,https://cdn4.sharechat.com/dde6965_1697629734416.3gp,2230497,h264
3294415269,https://cdn4.sharechat.com/2b8d1bed_1697340777843.3gp,2250280,h264
3296295475,https://cdn4.sharechat.com/2ab37f00_1697476844083.3gp,2483941,h264
3295833199,https://cdn4.sharechat.com/162804c4_1697446066924.3gp,2425265,h264
3295291427,https://cdn4.sharechat.com/32770316_1697392153007.3gp,2366704,h264
3295275265,https://cdn4.sharechat.com/1290b6a4_1697390801437.3gp,2302524,h264
3296601895,https://cdn4.sharechat.com/1bb8e0b1_1697517399276.3gp,2303380,h264
3296160943,https://cdn4.sharechat.com/37865f5_1697468075696.3gp,1456541,h264
3294921123,https://cdn4.sharechat.com/28516121_1697368705861.3gp,2279731,h264
3296650327,https://cdn4.sharechat.com/25308a9_1697520526633.3gp,2385044,h264
3297812740,https://cdn4.sharechat.com/a3e2d2_1697616107095.3gp,2273285,h264
3293807436,https://cdn4.sharechat.com/16a3b529_1697281364499.3gp,2171969,h264
3295279670,https://cdn4.sharechat.com/23d0ac6e_1697391139951.3gp,2327836,h264
3296296683,https://cdn4.sharechat.com/52b35f7_1697476935281.3gp,2483941,h264
3296579313,https://cdn4.sharechat.com/1cfb0eea_1697515922220.3gp,9019812,h264
3296895056,https://cdn4.sharechat.com/33ee1fcd_1697536288217.3gp,2288140,h264
3292421572,https://cdn4.sharechat.com/257f61b1_1697171569371.3gp,1752880,h264
3295276758,https://cdn4.sharechat.com/2b2cb9bc_1697390919263.3gp,2267801,h264
3294041116,https://cdn4.sharechat.com/1d920eb_1697297078047.3gp,5033189,h264
3296220482,https://cdn4.sharechat.com/251d5d11_1697471706389.3gp,1138148,h264
3293942828,https://cdn4.sharechat.com/afa987e_1697290701886.3gp,2426141,h264
3298280220,https://cdn4.sharechat.com/127e3b9_1697647121361.3gp,1005088,h264
3295102895,https://cdn4.sharechat.com/18501365_1697379841955.3gp,2210875,h264
3297370975,https://cdn4.sharechat.com/16d61ad7_1697572744628.3gp,2305874,h264
3296399414,https://cdn4.sharechat.com/1c4fa2f9_1697502466232.3gp,2237372,h264
3294417361,https://cdn4.sharechat.com/147ce430_1697340890421.3gp,2408819,h264
3293634488,https://cdn4.sharechat.com/b2e008b_1697269530204.3gp,2333013,h264
3296495041,https://cdn4.sharechat.com/321d5d68_1697510413820.3gp,2278533,h264
3295273455,https://cdn4.sharechat.com/2135855b_1697390659351.3gp,2309862,h264
3292938539,https://cdn4.sharechat.com/3754978c_1697205542246.3gp,1130972,h264
3296856952,https://cdn4.sharechat.com/105d0ef5_1697533706145.3gp,2359514,h264
3298229210,https://cdn4.sharechat.com/24f65768_1697643793418.3gp,2244793,h264
3298221113,https://cdn4.sharechat.com/300e41ad_1697643285727.3gp,2364239,h264
3292496963,https://cdn4.sharechat.com/2e4dabda_1697176450755.3gp,2234209,h264
3293676094,https://cdn4.sharechat.com/2e84e97f_1697272142956.3gp,3964765,h264
3293632942,https://cdn4.sharechat.com/2471c3ca_1697269434492.3gp,2259523,h264
3296340983,https://cdn4.sharechat.com/2cc2cfe7_1697481466022.3gp,2462098,h264
3293933445,https://cdn4.sharechat.com/38b96fe8_1697290074526.3gp,2094141,h264
3295102682,https://cdn4.sharechat.com/37508312_1697379828795.3gp,2210875,h264
3294349657,https://cdn4.sharechat.com/6e2fcb6_1697336688869.3gp,2278533,h264
3293107611,https://cdn4.sharechat.com/ca57d0c_1697216171508.3gp,1579165,h264
3294639641,https://cdn4.sharechat.com/3932a3a7_1697352480392.3gp,2317494,h264
3298010975,https://cdn4.sharechat.com/3468610c_1697629558287.3gp,2254987,h264
3296353315,https://cdn4.sharechat.com/fff9650_1697483536547.3gp,2272772,h264
3296634391,https://cdn4.sharechat.com/84f89fd_1697519521221.3gp,2543693,h264
3297235256,https://cdn4.sharechat.com/a860599_1697558542484.3gp,2361133,h264
3297377548,https://cdn4.sharechat.com/3543ae1f_1697575332299.3gp,1437797,h264
3298009928,https://cdn4.sharechat.com/1bbb67ad_1697629498110.3gp,2257916,h264
3298013014,https://cdn4.sharechat.com/5e86d6c_1697629670072.3gp,2282392,h264
3292340833,https://cdn4.sharechat.com/1d8cba59_1697166198841.3gp,2448167,h264
3297523008,https://cdn4.sharechat.com/1e9dba49_1697598023077.3gp,2412934,h264
3297792941,https://cdn4.sharechat.com/3544cb71_1697614869146.3gp,2432215,h264
3296594927,https://cdn4.sharechat.com/59c0dff_1697516939982.3gp,2215111,h264
3294791935,https://cdn4.sharechat.com/801dfa5_1697360752661.3gp,1309253,h264
3295148026,https://cdn4.sharechat.com/f103cee_1697382550902.3gp,2283178,h264
3292353457,https://cdn4.sharechat.com/290ab8b8_1697167060656.3gp,2057009,h264
3293553335,https://cdn4.sharechat.com/4bf7e40_1697264656175.3gp,1288134,h264
3296369191,https://cdn4.sharechat.com/bee8707_1697488162680.3gp,2237266,h264
3296800968,https://cdn4.sharechat.com/17a459c8_1697530109654.3gp,2212021,h264
3295641314,https://cdn4.sharechat.com/25bb3cc1_1697433904815.3gp,2144422,h264
3295431139,https://cdn4.sharechat.com/250315c1_1697420418572.3gp,2275753,h264
3295596453,https://cdn4.sharechat.com/797e144_1697431113849.3gp,2150587,h264
3297811420,https://cdn4.sharechat.com/14c1c25c_1697616027591.3gp,2262903,h264
3295592860,https://cdn4.sharechat.com/320d8137_1697430889726.3gp,2252690,h264
3297792798,https://cdn4.sharechat.com/3b350db_1697614859086.3gp,2432215,h264
3292750045,https://cdn4.sharechat.com/352aa467_1697193139453.3gp,1365179,h264
3295790150,https://cdn4.sharechat.com/2122d0f5_1697443289761.3gp,1442339,h264
3293045125,https://cdn4.sharechat.com/38c9868c_1697212167016.3gp,9160394,h264
3295290296,https://cdn4.sharechat.com/22f38065_1697392048559.3gp,1954376,h264
3295810714,https://cdn4.sharechat.com/100bd8cf_1697444598755.3gp,2464294,h264
3294186926,https://cdn4.sharechat.com/ed5f828_1697307011943.3gp,2456138,h264
3293450584,https://cdn4.sharechat.com/1768d6cc_1697258373717.3gp,1679247,h264
3298279884,https://cdn4.sharechat.com/3904a797_1697647103019.3gp,1005088,h264
3294762332,https://cdn4.sharechat.com/28d38c15_1697359018460.3gp,1431400,h264
3295036699,https://cdn4.sharechat.com/235b3128_1697375845621.3gp,2354961,h264
3293500208,https://cdn4.sharechat.com/2c97fdf3_1697261445237.3gp,2296437,h264
3297813756,https://cdn4.sharechat.com/1d1cef50_1697616177714.3gp,2231396,h264
3297143288,https://cdn4.sharechat.com/3a57eb94_1697552962338.3gp,2296490,h264
3295273983,https://cdn4.sharechat.com/1e2ae20e_1697390699540.3gp,2259041,h264
3296787537,https://cdn4.sharechat.com/6a6744c_1697529222987.3gp,2253830,h264
3297827969,https://cdn4.sharechat.com/1a97e5f7_1697617077168.3gp,2758711,h264
3296617695,https://cdn4.sharechat.com/c2e7ab7_1697518426465.3gp,2310774,h264
3294301875,https://cdn4.sharechat.com/9fd6cb3_1697333270448.3gp,1403075,h264
3296787926,https://cdn4.sharechat.com/2a76710e_1697529245622.3gp,2253830,h264
3297132762,https://cdn4.sharechat.com/2dd430d6_1697552332987.3gp,2209711,h264
3296010076,https://cdn4.sharechat.com/2289bebe_1697458150491.3gp,2110563,h264
3292592636,https://cdn4.sharechat.com/30945305_1697182560712.3gp,2462092,h264
3294916397,https://cdn4.sharechat.com/c6402bc_1697368404368.3gp,2267415,h264
3297205007,https://cdn4.sharechat.com/dbffdab_1697556656921.mpeg,1021770,h264
3296481105,https://cdn4.sharechat.com/13646c06_1697509487302.mpeg,1296168,h264
3294904936,https://cdn4.sharechat.com/1d540403_1697367646310.mpeg,5309422,h264
3295801250,https://cdn4.sharechat.com/16e4bba4_1697444003342.mpeg,1021219,h264
3295794872,https://cdn4.sharechat.com/9635c1a_1697443600717.mpeg,1020432,h264
3293241452,https://cdn4.sharechat.com/1493bedc_1697243196955.mpeg,5418661,h264
3295790798,https://cdn4.sharechat.com/10a2f83c_1697443331789.mpeg,1470714,h264
3293248490,https://cdn4.sharechat.com/a32bb4b_1697244078258.mpeg,5507154,h264
3298122719,https://cdn4.sharechat.com/15e7b4e5_1697637032731.mpeg,1013688,h264
3292425136,https://cdn4.sharechat.com/2e8132b_1697171808583.mpeg,4440600,h264
3293942946,https://cdn4.sharechat.com/1aa33c21_1697290708427.mpeg,4988437,h264
3293992383,https://cdn4.sharechat.com/23696a40_1697294036670.mpeg,3910378,h264
3294314296,https://cdn4.sharechat.com/1ef5e2f_1697334209869.mpeg,1066802,h264
3296486034,https://cdn4.sharechat.com/31d8a686_1697509809017.mpeg,1245258,h264
3296100658,https://cdn4.sharechat.com/391d89f4_1697464301225.mpeg,1009243,h264
3294493004,https://cdn4.sharechat.com/3b836367_1697345187338.mpeg,3388070,h264
3294770055,https://cdn4.sharechat.com/23c84900_1697359460036.mpeg,3472151,h264
3294932134,https://cdn4.sharechat.com/34b3fbfc_1697369405062.mpeg,4118463,h264
3295799106,https://cdn4.sharechat.com/2db96395_1697443863592.mpeg,1022946,h264
3294693744,https://cdn4.sharechat.com/542ac7f_1697355272711.mpeg,3163746,h264
3296803376,https://cdn4.sharechat.com/27f2e742_1697530268139.mpeg,1029204,h264
3293727729,https://cdn4.sharechat.com/213c1cbb_1697275688752.mpeg,5198470,h264
3292424496,https://cdn4.sharechat.com/38755742_1697171766568.mpeg,4440600,h264
3298015533,https://cdn4.sharechat.com/10ff13a0_1697629809516.mpeg,1044717,h264
3296991257,https://cdn4.sharechat.com/217c07f6_1697542944951.mpeg,1007561,h264
3296084365,https://cdn4.sharechat.com/852a3ae_1697463203122.mpeg,1058006,h264
3296802420,https://cdn4.sharechat.com/22ac5425_1697530204242.mpeg,1028670,h264
3293238710,https://cdn4.sharechat.com/124adb87_1697242742052.mpeg,5731209,hevc
3298236143,https://cdn4.sharechat.com/3a91f402_1697644222457.mpeg,9019884,h264
3295796254,https://cdn4.sharechat.com/1786f6f2_1697443688700.mpeg,1037230,h264
3298145734,https://cdn4.sharechat.com/771b1a2_1697638524902.mpeg,1010647,h264
3294313162,https://cdn4.sharechat.com/32f786b8_1697334121903.mpeg,1061845,h264
3294107027,https://cdn4.sharechat.com/12c62dde_1697301225583.mpeg,1023789,h264
3294747806,https://cdn4.sharechat.com/65bd44b_1697358192162.mpeg,1020472,h264
3297265167,https://cdn4.sharechat.com/ec1d203_1697560537020.mpeg,1061151,h264
3292982882,https://cdn4.sharechat.com/35e3a779_1697208338377.mpeg,1032167,h264
3297801276,https://cdn4.sharechat.com/b91d8fc_1697615409030.mpeg,2113100,h264
3294695725,https://cdn4.sharechat.com/1e303274_1697355375393.mpeg,1872989,h264
3294697238,https://cdn4.sharechat.com/2855cd9e_1697355451352.mpeg,8068305,h264
3294313244,https://cdn4.sharechat.com/179c8e53_1697334128040.mpeg,1061845,h264
3294109013,https://cdn4.sharechat.com/11f9dcd2_1697301352409.mpeg,1023789,h264
3296078755,https://cdn4.sharechat.com/15518580_1697462846932.mpeg,1025329,h264
3298223288,https://cdn4.sharechat.com/2a278684_1697643419703.mpeg,1039769,h264
3296855822,https://cdn4.sharechat.com/12095647_1697533635075.mpeg,3087290,h264
3296236118,https://cdn4.sharechat.com/309faf37_1697472698638.mpeg,1353253,h264
3297266334,https://cdn4.sharechat.com/1bd8fde5_1697560608080.mpeg,1016632,h264
3294740294,https://cdn4.sharechat.com/1a38dbc1_1697357773520.mpeg,1010647,h264
3294764639,https://cdn4.sharechat.com/1ec5f554_1697359148121.mpeg,7601480,h264
3297785532,https://cdn4.sharechat.com/288d569a_1697614398096.mkv,1079260,vp9
3294847290,https://cdn4.sharechat.com/1a3c0ea4_1697364047402.mkv,7527694,vp9
3292378479,https://cdn4.sharechat.com/23a5a815_1697168710465.mkv,4708507,vp9
3293873921,https://cdn4.sharechat.com/10cbd102_1697285998150.mkv,1329390,vp9
3293398865,https://cdn4.sharechat.com/2f112dc5_1697254999812.mkv,1257761,vp9
3295321679,https://cdn4.sharechat.com/1b3b6e54_1697395584947.mkv,2759057,vp9
3295704053,https://cdn4.sharechat.com/12020856_1697437699518.mkv,1973594,vp9
3294156833,https://cdn4.sharechat.com/63f4822_1697304667890.mkv,1355639,vp9
3297674579,https://cdn4.sharechat.com/3494d1d0_1697607562701.mkv,3245045,vp9
3298253959,https://cdn4.sharechat.com/16203b60_1697645381213.mkv,2608350,vp9
3295323833,https://cdn4.sharechat.com/dc12174_1697395895230.mkv,8905211,vp9
3292548033,https://cdn4.sharechat.com/29a1a789_1697179574486.mkv,1156282,vp9
