postId,originalVideoUrl,comparedVideoUrl
3077128210,https://cdn3.sharechat.com/attribute_removed_new_3077128210_490179_352762_33d10012_168179910.mp4,https://cdn3.sharechat.com/contents/moj_3077128210/per-h265/dreRje2NXvS63331l30WIepoDJ4byRf9rgdAQ0NVubQDZd.mp4
3077135634,https://cdn4.sharechat.com/51d0783_1681799450043.mp4,https://cdn3.sharechat.com/contents/moj_3077135634/h264/x6AO6wW59QhE7YV3yKPLIEPYA0DJwOF22KPOG8v.mp4
3077147680,https://cdn4.sharechat.com/1f55c1aa_1681800039927.mp4,https://cdn3.sharechat.com/contents/moj_3077147680/h264/9kPWk8N0xeTJpny6WgokuVy3pJ2YE4ing7lrQPy7.mp4
3077151025,https://cdn4.sharechat.com/ef1b16e_1681800202189.mp4,https://cdn3.sharechat.com/contents/moj_3077151025/compressed/yPQ3oWWEP3Tekd2ZX399upnQVZ7gLRhYDX49.mp4
3077148981,https://cdn4.sharechat.com/1f0ae40f_1681800102453.mp4,https://cdn3.sharechat.com/contents/moj_3077148981/attributed/VNRen84K6jtm5Jre3llPse23DN4Gk5Ckm1Vx.mp4
3077153656,https://cdn4.sharechat.com/ac925da_1681800330274.mp4,https://cdn3.sharechat.com/contents/moj_3077153656/h264/2B2bBmGN4pup6vJBNZ3bC8mm1oNrewiDDAVQvD6.mp4
3077149863,https://cdn4.sharechat.com/ccf6726_1681800146713.mp4,https://cdn3.sharechat.com/contents/moj_3077149863/h265/jxl8xv5nkAu2j6AZDgJPsARyNVklnptXXWQdKv4.mp4
3077130886,https://cdn4.sharechat.com/d9e9006_1681799236650.mp4,https://cdn3.sharechat.com/contents/moj_3077130886/per-h265/dreRje2NXvS63331l30WIepoDG8VdEt2AomGrg32FV5DWnj.mp4
3077143520,https://cdn4.sharechat.com/29b424e3_1681799830952.mp4,https://cdn3.sharechat.com/contents/moj_3077143520/h265/v6XO6mWJbQsOY4LneRm7TD3J0yP9JbCNNZrbP6D.mp4
3077145572,https://cdn4.sharechat.com/1bfd740d_1681799930728.mp4,https://cdn3.sharechat.com/contents/moj_3077145572/h265/KkZWkgNlbmFJ491nLVEnUGpPAwj833fnnQ7eAn3.mp4
3077131007,https://cdn3.sharechat.com/attribute_removed_new_3077131007_475608_249301_5a1a50c_1681799243.mp4,https://cdn3.sharechat.com/contents/moj_3077131007/per-h265/6k0Ym0NO6wuAxxxwoxNrINmojKobDBSyZlyRowPdCLkQwOr.mp4
3077132217,https://cdn4.sharechat.com/2027e7bc_1681799300455.mp4,https://cdn3.sharechat.com/contents/moj_3077132217/per-h265/WrmRbm2QAOSR555lb5wpuAY2EP7rV0u2102Ek8oLumlP1QX.mp4
3077150101,https://cdn4.sharechat.com/8791a7a_1681800158471.mp4,https://cdn3.sharechat.com/contents/moj_3077150101/attributed/9rmGP7yDglS5bRnEKOOYIkLKmpXDxKsVygp0.mp4
3077146335,https://cdn4.sharechat.com/379a9392_1681799969923.mp4,https://cdn4.sharechat.com/379a9392_1681799969923.mp4
3077135789,https://cdn4.sharechat.com/17dcae4b_1681796242699.mp4,https://cdn3.sharechat.com/contents/moj_3077135789/h264/9kPWk8N0xeTJpny6WgAotV2dZJ8rn6ujjvkrgYe.mp4
3077140511,https://cdn4.sharechat.com/2806c2f0_1681799684613.mp4,https://cdn3.sharechat.com/contents/moj_3077140511/h264/LkZvkg36WLTkp2GYEL0KcRdWjR5vEbu55VEb95B.mp4
3077160737,https://cdn4.sharechat.com/1a9012fb_1681800674949.mp4,https://cdn3.sharechat.com/contents/moj_3077160737/per-h265/DklBelNd6yujbbbv1b6ZF9rjrnGewKIELvEBWnkpFp7NVdg.mp4
3077136605,https://cdn4.sharechat.com/decce0a_1681799488099.mp4,https://cdn3.sharechat.com/contents/moj_3077136605/per-h265/kr1Vb1LK54SNJJJVoJ4nsoK405OjWQiVRrB3R6n1h1Z8kk.mp4
3077135146,https://cdn3.sharechat.com/attribute_removed_new_3077135146_887662_734926_7537c19_1681799427.mp4,https://cdn3.sharechat.com/contents/moj_3077135146/h264/Akd4kJygj5T5XQEO1LD6UJkm4wpoDjH884OBx8p.mp4
3077136755,https://cdn4.sharechat.com/310c1ed1_1681799504958.mp4,https://cdn3.sharechat.com/contents/moj_3077136755/h265/v6XO6mWJbQsOY4LneRkQFDZ99j45OpsNNZrbeNA.mp4
3077152027,https://cdn3.sharechat.com/attribute_removed_new_3077152027_392706_252726_105cf2d4_168180025.mp4,https://cdn3.sharechat.com/contents/moj_3077152027/h265/Wr37rg4EGoTY2VQyZjoZCpW0Gwd5K6TZZKJRVZX.mp4
3077144121,https://cdn4.sharechat.com/226ca4ab_1681799856994.mp4,https://cdn3.sharechat.com/contents/moj_3077144121/h265/mrQ1r35LnGT2vXy9D6AGcyY7BE8moAfLLKjGno1.mp4
3077153122,https://cdn4.sharechat.com/697f3ba_1681800304253.mp4,https://cdn3.sharechat.com/contents/moj_3077153122/attributed/WYRe32NolZuAbJVpK99XupWvxR7NGyHlmE3d.mp4
3077146151,https://cdn4.sharechat.com/f3c39df_1681799956960.mp4,https://cdn3.sharechat.com/contents/moj_3077146151/h265/4eKoew7BZkIbA20m7QWLcPlydVW90LilJ25Q78w9.mp4
3077133274,https://cdn4.sharechat.com/2b4c408e_1681799352119.mp4,https://cdn3.sharechat.com/contents/moj_3077133274/h264/NkbnkgL6G4TXGBWoN41OcvWvrKn9wVt445p9J3l.mp4
3077163095,https://cdn4.sharechat.com/9e0568f_1681800789072.mp4,https://cdn3.sharechat.com/contents/moj_3077163095/compressed/2r7wN33WrwU5Xd0L7PbbIK7wjv3b5KTpBvXR.mp4
3077156173,https://cdn4.sharechat.com/11023dab_1681800449321.mp4,https://cdn3.sharechat.com/contents/moj_3077156173/attributed/11VdO3yDJ2SEXRxe6OOGub4ZOeXjxviN6343.mp4
3077132269,https://cdn3.sharechat.com/attribute_removed_new_3077132269_789371_625894_1c1a05e5_168179930.mp4,https://cdn3.sharechat.com/contents/moj_3077132269/per-h265/QkERbE824OuRAAAwOAWlu4krylNPdNfr3yDwvJGBFGeL4DP.mp4
3077173077,https://cdn4.sharechat.com/125c785a_1681801291734.mp4,https://cdn3.sharechat.com/contents/moj_3077173077/h264/7kpgkZE5w9TJjv7rnxJ4ukyRGvnyLYsvQ1Wk4Nx1.mp4
3077142780,https://cdn3.sharechat.com/attribute_removed_new_3077142780_878754_800377_392f37a9_168179979.mp4,https://cdn3.sharechat.com/contents/moj_3077142780/per-h265/7kjQmjYR60uKmmm09m31H8pPpjgjOOSv5WKDLQ3muLEX37.mp4
3077157266,https://cdn4.sharechat.com/1531b27_1681800505833.mp4,https://cdn3.sharechat.com/contents/moj_3077157266/h265/Nkbnkg7lXoFXGBWoN4pGSvWLANPWBbU48ArwZdn.mp4
3077149800,https://cdn4.sharechat.com/26b6f6a1_1681800143610.mp4,https://cdn3.sharechat.com/contents/moj_3077149800/per-h265/Rr4Db48LNOSD222Lv2AdC9VRVZv4vpuAgjvjRb1lf306nvp.mp4
3077158153,https://cdn4.sharechat.com/2a889a7c_1681800542425.mp4,https://cdn3.sharechat.com/contents/moj_3077158153/attributed/DrB3vN9LmPSp1XAZNddmtAyNR6pE7BuwRB9n.mp4
3077160066,https://cdn4.sharechat.com/275f65c_1681800639950.mp4,https://cdn3.sharechat.com/contents/moj_3077160066/compressed/jPreKYYBPeTwlbpKdYkkIJQrm9XR8vtpx6kr.mp4
3077149943,https://cdn4.sharechat.com/239dfee4_1681800150333.mp4,https://cdn3.sharechat.com/contents/moj_3077149943/attributed/Arb9dL3nYDSV3pQwgvv2iJrgoBNY3mINVd3m.mp4
3077142557,https://cdn3.sharechat.com/attribute_removed_new_3077142557_71919_952042_504d488_1681799782.mp4,https://cdn3.sharechat.com/contents/moj_3077142557/per-h265/Gk1X817l6OuLXXXK8XPbS9xbxkVO0ns52b5N9o6kH9gjmx.mp4
3077147413,https://cdn4.sharechat.com/ed1a240_1681800024699.mp4,https://cdn3.sharechat.com/contents/moj_3077147413/h264/krj9rGewvgTbGdYljg4DHon0O40RkJHvvN95P2G.mp4
3077148368,https://cdn4.sharechat.com/607ac0_1681800073124.mp4,https://cdn3.sharechat.com/contents/moj_3077148368/h265/x6AO6wGjdmsE7YV3yKrPcE0V94m75mF22KPR61B.mp4
3077142106,https://cdn4.sharechat.com/1ded8566_1681799760859.mp4,https://cdn3.sharechat.com/contents/moj_3077142106/per-h265/br9Po924dOS4OOOn9OljF15d5moOkBHmPnX47dAVTJ9Npp.mp4
3077130270,https://cdn4.sharechat.com/66396cb_1681799203647.mp4,https://cdn3.sharechat.com/contents/moj_3077130270/per-h265/Gk1X817l6OuLXXXK8XPbS9xbX0Y5JwuYEokyPdQgu9krgg.mp4
3077137557,https://cdn4.sharechat.com/e47caa4_1681799543547.mp4,https://cdn3.sharechat.com/contents/moj_3077137557/h265/lrB8rn6Xv9TBWe7V0rQPtmkljP2dKJikQ1L2j4e8.mp4
3077149566,https://cdn4.sharechat.com/225a3f7c_1681800130853.mp4,https://cdn3.sharechat.com/contents/moj_3077149566/compressed/jPreKYYBPeTwlbpKdYkkIJQrm9XRObIpVNLw.mp4
3077161530,https://cdn4.sharechat.com/22021ea5_1681800717503.mp4,https://cdn3.sharechat.com/contents/moj_3077161530/attributed/5rNdg4yDOeSdE0rn2ppLc2Dnw1gydAsp5JLr.mp4
3077136786,https://cdn4.sharechat.com/140e39f4_1681799507049.mp4,https://cdn3.sharechat.com/contents/moj_3077136786/per-h265/mrREZR4dgYSpeeeEmeAVIe1rxbo8rPI6Rj8m3m2GTovN55.mp4
3077151535,https://cdn4.sharechat.com/346eb601_1681800227391.mp4,https://cdn3.sharechat.com/contents/moj_3077151535/h264/n6l869pZ3vh7GWxKZRmlu9jEl5vJp7TZbVwYkdl0.mp4
